Entity,English entity
·¬ÇÑ¸ßÎÂÕÏ°­,Tomato high-temperature injury
·¬ÇÑÈ±ËØÖ¢,nan
·¬ÇÑ·Êº¦,nan
·¬ÇÑ²èÉ«¹ûºÍÂÌ±³¹û,Tomato dark brown fruit and green back fruit
·¬ÇÑÏ¸¾úĞÔºÖ°ß²¡,Tomato bacterial leaf spot
·¬ÇÑÍø½î¹û,nan
·¬ÇÑÂä»¨Âä¹û,Tomato blossom and fruit drop
À±½·°ß¿İ²¡,Pepper Septoria leaf spot
À±½·°×ĞÇ²¡,Pepper Phyllosticta blight
À±½·Òß²¡,Pepper Phytophthora blight
À±½·ÔçÒß²¡,Pepper early blight
À±½·ºÖ°ß²¡,Pepper brown leaf spot
À±½·»ÒÃ¹²¡,Pepper gray mold
À±½·¾úºË²¡,Pepper Sclerotinia rot
À±½·Ì¿¾Ò²¡,Pepper anthracnose
À±½·ºÚ°ß²¡,Pepper black fruit spot
À±½·»Æ»¯Ìõ°ß²¡¶¾²¡,Sweet peper and Peper spotted wilt virus disease
À±½·ÜÙŞ£»¨Ò¶²¡¶¾²¡,Sweet pepper and Pepper alfalfa mosaic virus disease
À±½·´ÔÖ¦²¡,Pepper witches' broom
À±½·Æê¸¯²¡,Pepper blossom end rot
À±½·ºÚÃ¹²¡,Pepper black fruit mould
À±½·ÎÛÃ¹²¡,Pepper Cladosporium grease (leaf)mold
À±½·Ò¶Ã¹²¡,Pepper leaf mold
À±½·°×·Û²¡,Pepper powdery milde
À±½·Ñ¿Ö¦¹û¸¯²¡,Pepper Cladosporium fruit rot
²¤²Ë¸ù½áÏß³æ²¡,Spinach root knot nematode
²¤²ËÖê¸¯²¡,nan
²¤²Ë²¡¶¾²¡,Spinach virus disease
²¤²Ë°«»¨Ò¶²¡,nan
²¤²ËµÍÎÂÕÏ°­,nan
ò÷òÁ,mole criket and Pillbug
ÇÛ²Ë°ß¿İ²¡,Celery late blight
ÇÛ²ËÔçÒß²¡,Celery early blight
ÇÛ²ËºÚ°ß²¡,Celery Alternaria leaf spot
ÇÛ²ËÁ¢¿İ²¡,Celery Rhizoctonia rot
ÇÛ²ËºÚ¸¯²¡,Celery black rot
ÇÛ²Ë»ÒÃ¹²¡,Celery gray mold
ÇÛ²Ë¾úºË²¡,Celery stem rot
ÇÛ²ËÈí¸¯²¡,Celery bacterial soft rot
ÇÛ²ËÏ¸¾úÒ¶¿İ²¡,Celery bacterial leaf blight
ÇÛ²Ë¸ù½áÏß³æ²¡,Celery root-knot nematode disease
ÇÛ²ËĞÄ¸¯²¡,Celery heart rot
ÇÛ²Ë²¡¶¾²¡,Celery mosaic disease
ÇÛ²Ë»ÆÎ®²¡,Celery Fusarium wilt
ÇÛ²ËÒ¶°ß²¡,Celery early blight
ºúÂÜ²·Î¢¹ÜÑÁ,Celery aphid
İ«ËñËªÃ¹²¡,Stem-cating lettuce frost mould disease
İ«Ëñ»ÒÃ¹²¡,Stem-cating lettuce gray mold
İ«Ëñ¾úºË²¡,Stem-cating lettuce Sclerotinia disease
İ«ËñÒ¶½¹²¡,Stem-cating lettuce leaf are burnt and ill
İ«ËñÂÖÎÆ²¡,nan
İ«Ëñ°×·Û²¡,Lettuce powdery mildew
İ«Ëñ²¡¶¾²¡,Stem-cating lettuce virus disease
İ«ËñºÖ°ß²¡,Stem-cating lettuce Cercospora brown leaf spot
İ«ËñÈí¸¯²¡,Stem-cating lettuce bacterial soft rot
İ«ËñÂÖ°ß²¡,Lettuce Altemaria leaf spot
İ«ËñºÚ°ß²¡,Stem-cating lettuce Stemphylium leaf spot
İ«ËñĞâ²¡,Lettuce rust
İ«Ëñ¸¯°Ü²¡,Stem-cating lettuce bacterial leaf spot
İ«ËñÒ¶Ôµ»µËÀ²¡,Stem-cating lettuce leaf reason decays disease
İ«ËñºÖ¸¯²¡,Stem-cating lettuce brown rot
İ«ÜÄ¶¬Ò¹¶ê,lettuce noctuid
İ«ËñÖ¸¹ÜÑÁ,Taiwan lettuce aphid
Éú²ËËªÃ¹²¡,Asparagus lettuce and lettuce downy milde
Éú²ËºÖ°ß²¡,Asparagus lettuce and lettuce Cercospora brown leaf spot
Éú²ËÂÖÎÆ²¡,Asparagus lettuce and lettuce ship veins disease
Éú²Ë»ÒÃ¹²¡,Head garden lettuce gray mold
Éú²Ë¾úºË²¡,Head garden lettuce Sclerotinia disease
Éú²ËÂÖ°ß²¡,Asparagus lettuce and lettuce ship spot disease
Éú²Ë¸¯°Ü²¡,Head garden lettuce bacterial leaf spot
Éú²ËÈí¸¯²¡,Head garden lettuce bacterial soft rot
Éú²ËÒ¶½¹²¡,Head garden lettuce leaf burnt and ill
Éú²Ë²¡¶¾²¡,Asparagus lettuce and lettuce mosaic
Éú²ËºÖ¸¯²¡,Head garden lettuce brown rot
ÜÈ²Ë°×Ğâ²¡,Amaranth white rust
ÜÈ²ËºÖ°ß²¡,Amaranth Phyllosticta leaf spot
ÜÈ²ËÌ¿¾Ò²¡,Amaranth anthracnose
ÜÈ²Ë²¡¶¾²¡,Amaranth virus disease
ÜÈ²Ë¸ù½áÏß³æ²¡,Amaranth root£­knot nematode disease
ÜÈ²Ë°ßµã²¡,Amaranth leaf mold
ÜÈ²ËºÚ°ß²¡,Amaranth black spot
ÜÈ²Ë»ÒÃ¹²¡,Amaranth gray mold
ÜÈ²ËÓ×Ãçâ§µ¹²¡,Amaranth seedling damping off
òÇò¾,Earthworm
Âä¿û×Ï°ß²¡,Malabar spinach Ramularia leaf spot
Âä¿û¾¥¸¯²¡,Malabar spinach stem rot
Âä¿ûÔ²°ß²¡,Malabar spinach circular leaf spot
Âä¿ûÌ¿¾Ò²¡,Malabar spinach anthracnose
Âä¿ûÒ¶°ß²¡,Malabar spinach Diplodia leaf spot
Âä¿ûºÚ°ß²¡,Malabar spinach Alternaria black leaf spot
Âä¿û»ÒÃ¹²¡,Malabar spinach gray mold
Âä¿ûÃç¸¯²¡,Malabar spinach seeding rot
Âä¿ûÉßÑÛ²¡,Malabar spinach Phyllosticta leaf spot
Âä¿û»¨Ò¶²¡,Malabar spinach mosaic disease
Âä¿ûÒ¶µãÃ¹×Ï°ß²¡,nan
Âä¿û¸ù½áÏß³æ²¡,Malabar spinach root?rot nematode disease
Ş³²ËÂÖ°ß²¡,Waterspinach Phyllosticta leaf spot
Ş³²Ë°×Ğâ²¡,Waterspinach white rust
Ş³²ËºÖ°ß²¡,Waterspinach leaf spot
Ş³²Ë»ÒÃ¹²¡,Waterspinach gray mold
Ş³²Ëâ§µ¹²¡,Water spinach damping off
Ş³²Ë(ÖùÅÌæß)Ò¶°ß²¡,nan
Ş³²Ë(ÇÑÙë±úÃ¹)Ò¶°ß²¡,nan
Ş³²Ë(µÛÎÆÎ²æß)Ò¶°ß²¡,nan
Ş³²Ë(ÇòÇ»¾ú)ºÖ°ß²¡,nan
Ş³²Ë¾úºË²¡,Water¡ªspinach Sclerotinia
Î÷ºùÂ«ÃàÒß²¡,Summer squash Phytophthora rot
Î÷ºùÂ«Ï¸¾úĞÔÒ¶¿İ²¡,Summer squash bacterial leaf spot
Î÷ºùÂ«¸ùÃ¹¹û¸¯²¡,Summer squash Rhizopus rot
Î÷ºùÂ«ºÖÉ«¸¯°Ü²¡,nan
Î÷ºùÂ«Ò¶¿İ²¡,Summer squash Alternaria spot
Î÷ºùÂ«Ò¶µã²¡,Summer squash Phyllosticta spot
Î÷ºùÂ«ËªÃ¹²¡,Summer squash downy mildew
Î÷ºùÂ«ÒøÒ¶²¡,Summer squash Silverleaf disease
Íã¶¹Ğâ²¡,Pea rust
Íã¶¹»ÒÃ¹²¡,Pea gray mold
Íã¶¹¾úºË²¡,Pea Sclerotinia rot
Íã¶¹¸ù¸¯²¡,Pea root rot
Íã¶¹²¡¶¾²¡,Pea wilt virus
Íã¶¹¸ù´®ÖéÃ¹¸ù¸¯²¡,Pea Thielaviopsis root rot
Íã¶¹ºÚ°ß²¡,Pea Ascochyta blight
Íã¶¹¼âÁ­µ¶æßÎ®µò²¡,Pea Fusarium wilt
Íã¶¹Ñ¿¿İ²¡,Pea Choanephora rot
ÆÏÌÑÂÖ°ß²¡,Grape verticil spot
ÆÏÌÑ»Ò°ß²¡,Grape gray leaf spot
ÆÏÌÑ¸ùĞà²¡,Grape root rot
ÆÏÌÑ°×ÎÆÓğ²¡,Grape white root rot
ÆÏÌÑÂÖÎÆ²¡,Grape perennial canker
ÆÏÌÑÂû¸î²¡,Grape deadarm
ÆÏÌÑÒ¶°ß²¡,Grape Septoria leaf spot
ÆÏÌÑĞ¡ºÖ°ß²¡,Grape Phaeoramularia spo
ÆÏÌÑºÖ°ß²¡,Grape Phaeoisariopsis spot
½Ç°ß¹Å¶¾¶ê,Red-spotted tussock moth
éÙ»ÒÏó¼×,Citrus weevils
ºÚ¶î¹âÒ¶¼×,nan
ÀõÒß²¡,Chestnut blight
ÀóÖ¦ÄâÄ¾ó¼¶ê,nan
ÁúÑÛ¹íÖã²¡,Longan witches' broom¡£
ÁúÑÛÔå°ß²¡,Longan algal
ÁúÑÛ»ÒÉ«Ò¶¿İ²¡,Longan Phomopsis leaf spot
ÁúÑÛ¸ù¸¯²¡,Longan root rot
ÁúÑÛÌ¿¾Ò²¡,Longan anthracnose¡£
ÁúÑÛºÚ°ß²¡,Longan black spot
Ş³²Ë¸ù¸¯²¡,Waterspinach Fusarium root rot
°Ëµã»ÒµÆ¶ê,Grey mulberry hairy caterpillar
´ó²Ë·Ûµû,Large white
²ËÒ¶·ä,Cabbage sawfly
¶Ì¶î¸º»È,Brevis front grasshopper
²ËÇ±Ó¬,Serpentine leafminer
¸ÊÀ¶ÑÁ,Cabbage aphid
»ÆÏÁÌõÌø¼×,Barley flea beetle
»Æ¿íÌõÌø¼×,Broad flea beetle
ÓÍ²ËÔéÌø¼×,Cabbage flea beetle
Ğ¡Ô³Ò¶¼×,Daikon leaf beetle
´óÔ³Ò¶¼×,Cabbage leaf beetle
²Ëòí,Cabbage bug
ºáÎÆ²Ëòí,Transverse striation stink bug
¸ÊÀ¶»ÆÒ¶²¡,Cabbage Fusarium wilt
¸ÊÀ¶¸ùÖ×²¡,Cabbage club root
ÂÜ²·µØÖÖÓ¬,Turnip root fly
Ã«Î²µØÖÖÓ¬,Smaller turnip maggot
»ÆĞÄÎÚºÚ¸¯²¡,Yellow heart cabbage black rot
»ÆĞÄÎÚÏ¸¾úĞÔºÚ°ß²¡,Yellow heart cabbage bacterial black spot
»ÆĞÄÎÚÈí¸¯²¡,Yellow heart cabbage soft rot
»ÆĞÄÎÚËªÃ¹²¡,Yellow heart cabbage downy milde
»ÆĞÄÎÚºÚ°ß²¡,Yellow heart cabbage Alternaria leaf spot
»ÆĞÄÎÚÒ¶¸¯²¡,Yellow heart cabbage Rhizoctonia leaf rot
¸ÊÀ¶ËªÃ¹²¡,Cabbage downy milde
¸ÊÀ¶ºÚ¸ù²¡,Cabbage Rhizoctonia rot
¸ÊÀ¶ºÚëÖ²¡,Cabbage black leg
¸ÊÀ¶¾úºË²¡,Cabbage Sclerotinia disease
¸ÊÀ¶â§µ¹²¡,Cabbage damping off
¸ÊÀ¶Èí¸¯²¡,Cabbage bacterial soft rot
¸ÊÀ¶ºÚ¸¯²¡,Cabbage black rot
¸ÊÀ¶»ÒÃ¹²¡,Cabbage gray mold
¸ÊÀ¶Ï¸¾úĞÔºÚ°ß²¡,Cabbage bacterial black spot
¸ÊÀ¶Ë®Ö×²¡,Cabbage edema
¸ÊÀ¶²¡¶¾²¡,Cabbage virus disease
¸ÊÀ¶ºÚ°ß²¡,Cabbage Alternaria leaf spot
»¨Ò¬²ËÈí¸¯²¡,Cauliflower bacterial soft rot
»¨Ò¬²Ë²¡¶¾²¡,cauliflower virus disease
»¨Ò¬²ËºÚ¸¯²¡,Cauliflower black rot
»¨Ò¬²ËÏ¸¾úĞÔºÚ°ß²¡,Cauliflower bacterial black spot
»¨Ò¬²ËËªÃ¹²¡,Cauliflower downy milde
»¨Ò¬²Ëâ§µ¹²¡,Cauliflower seedling damping off
»¨Ò¬²ËºÚ¸ù²¡,Cauliflower Rhizoctonia rot
»¨Ò¬²ËºÚ°ß²¡,Cauliflower black leaf spot
»¨Ò¬²ËºÖ°ß²¡,Cauliflower Alternaria leaf spot
»¨Ò¬²Ë¾úºË²¡,Cauliflower stem rot
»¨Ò¬²Ë»¨ÇòÉ¢»¨,Cauliflower ball-flower looseness
»¨Ò¬²ËÃ«»¨,Cauliflower lanatoside
»¨Ò¬²ËÇà»¨,Cauliflower sporophyll exceptional growth
»¨Ò¬²Ë×Ï»¨,Cauliflower Purple ball-flower
»¨Ò¬²ËÈ±îâ,Cauliflower molybdenum deficiency
»¨Ò¬²ËÈ±Åğ,Cauliflower boron deficiency
Çà»¨²Ë²¡¶¾²¡,Broccoli virus disease
Çà»¨²Ë½Ç°ß²¡,Broccoli angular leaf spot
Çà»¨²Ë¶³º¦,Broccoli freezing injury
Çà»¨²ËÁ¢¿İ²¡,Broccoli Rhizoctonia rot
Çà»¨²Ëâ§µ¹²¡,Broccoli seedling damping off
Çà»¨²ËÒ¶Ã¹²¡,Broccoli Cladosporium leaf mold
Çà»¨²ËºÖ°ß²¡,Broccoli Alternaria leaf spot
Çà»¨²ËºÚ¸¯²¡,Broccoli black rot
Çà»¨²Ë¾úºË²¡,Broccoli stem rot
Çà»¨²ËÏ¸¾úĞÔ°ßµã²¡,Broccoli bacterial leafspot
Çà»¨²Ë¾¥Áö²¡,Broccoli stem gall
Çà»¨²ËÒ¶¸¯²¡,nan
Çà»¨²Ë½¹ÀÙºÍ»Æ»¯,Broccoli button burn and yellows
Çà»¨²Ë²»Á¼»¨Çò,Broccoli undesirable ball-flower
Çà»¨²Ë¼ĞÒ¶»¨Çò,Broccoli sporophyll exceptional growth
Çà»¨²ËÉ¢ĞÎ»¨Çò,Broccoli ball-flower looseness
Çà»¨²ËÒ¶¹£¿ªÁÑ,nan
×Ï¸ÊÀ¶ºÚ¸¯²¡,Purple Cabbage black rot
×Ï¸ÊÀ¶Èí¸¯²¡,Purple Cabbage bacterial soft rot
×Ï¸ÊÀ¶¾úºË²¡,Purple Cabbage Sclerotinia disease
×Ï¸ÊÀ¶ÁÑÇò,Purple Cabbage crackin gcore
×Ï¸ÊÀ¶¸ÉÉÕĞÄ²¡,Purple Cabbage heart rot
½æÀ¶²¡¶¾²¡,Kailan virus disease
²¤²ËÒ¶°ß²¡,Spinach Cercospora leaf spot
²¤²Ë°×Ğâ²¡,Spinach white rust
ÇÛ²ËÏ¸¾úÒ¶°ß²¡,"Celery bacterial leaf spot
"
½æÀ¶ºÚ¸¯²¡,Kailan black rot
½æÀ¶Èí¸¯²¡,Kailan soft rot
½æÀ¶ºÚ°ß²¡,Kailan Black Spot
½æÀ¶ËªÃ¹²¡,Kailan downy mildew
½æÀ¶¾úºË²¡,Kailan stalk break
²¤²ËËªÃ¹²¡,Spinach downy milde
²¤²Ë»ÒÃ¹²¡,Spinach gray mold
²¤²Ëâ§µ¹²¡,Spinach damping off
²¤²ËĞÄ¸¯²¡,Spinach heart rot
²¤²ËÌ¿¾Ò²¡,Spinach anthracnose
²¤²Ë°ßµã²¡,Spinach leaf mold
²¤²Ë¿İÎ®²¡,Spinach Fusarium wilt
²¤²Ë¾¥¿İ²¡,nan
²¤²ËÒ¶µã²¡,Spinach Phyllosticta leaf spot
²¤²ËÎÛÃ¹²¡,nan
²¤²ËºÚ°ß²¡,Spinach Alternaria leaf spot
Å£İò³¤¹ÜÑÁ,burdock long-homed aphid
½ğÕë³æ,nan
½ªÑÛ°ß²¡,Ginger eye spot
½ªÎÆ¿İ²¡,Ginger summer blight
½ªÈí¸¯²¡,Ginger soft rot
ÓóÂÖ°ß²¡,Taro target spot
É½Ò©Á­µ¶¾ú¿İÎ®²¡,nan
É½Ò©¸ù¸¯²¡,Chinese yam Fusarium root rot
½ªÎÁ²¡,Ginger blast
½ªÒ¶¿İ²¡,Ginger leaf spot
½ª°ßµã²¡,Ginger leaf spot
½ªÌ¿¾Ò²¡,Ginger Colletotrichum leaf spot
½ª¸¯Ã¹²¡,Ginger root rot
½ª¸¯ÀÃ²¡,Ginger blast
½ª»¨Ò¶²¡¶¾²¡,Ginger mosaic
½ªÏ¸¾úÈí¸¯²¡,Ginger bacterial soft rot
½ªÏ¸¾úĞÔÒ¶°ß²¡,Ginger bacterial leafspot
½ªÅªµû,nan
ÓóÒß²¡,Taro Phytophthora blight
ÓóÎÛ°ß²¡,Taro leaf mold
ÓóÈí¸¯²¡,Dasheen bacterial soft rot
Óó¿İÎ®²¡,Taro Fusarium wilt
Óó»Ò°ß²¡,Taro Cercospora leaf spot
ÓóÌ¿¾Ò²¡,Dasheen anthracnose
Óó»ÆÎ®²¡,Taro Verticillium Wilt
ÓóºÚ°ß²¡,Taro Alternaria black spot
ÓóÒ¶Òß²¡,Taro leaf blight
ÓóÏ¸¾úĞÔ°ßµã²¡,Taro bacterial spot disease
Óó»È,Dasheen grasshopper
É½Ò©ºÖ°ß²¡,Chinese yam Phyllosticta leafspot
É½Ò©Ì¿¾Ò²¡,Chinese yam leaf spot
É½Ò©°ßÎÆ²¡,Chinese yam Cylindrosporium leaf spot
É½Ò©°ß¿İ²¡,Chinese yam Septoria leaf spot
É½Ò©ºì°ß²¡,Yam red spot
É½Ò©ºÖ¸¯²¡,Yam brown rot
É½Ò©»Ò°ß²¡,Chinese yam Cercospora leafspot
É½Ò©ÇàÃ¹Èí¸¯²¡,Chinese yam Penicillium soft rot
¾ÕÓó°×·Û²¡,Topinamber powdery mildew
¾ÕÓó°ß¿İ²¡,Topinamber spot blight
¾ÕÓóºÖ°ß²¡,Topinamber Cercospora brown spot
´ĞĞâ²¡,Onion rust
´ĞËªÃ¹²¡,Onion downy milde
´Ğ»ÒÃ¹²¡,Onion gray mold
´Ğ°×¸¯²¡,Onion white rot
´ĞºÖ°ß²¡,Onion Mycosphaerella blight
´Ğ×Ï°ß²¡,Onion Alternaria leaf spot
´Ğ°×É«Òß²¡,Onion white tip
´ĞÒß²¡,Onion Phytophthora blight
´ĞºÚ°ß²¡,Onion leaf blight
´ĞĞ¡¾úºË²¡,Onion Sclerotinia rot
´ĞµØÖÖÓ¬,Onion fly
´ĞĞëÁÛ¶ê,nan
´Ğ¼»Âí,Onion thrips
´óËâ×Ï°ß²¡,Garlic Alternaria leaf spot
´óËâÒ¶¿İ²¡,Garlic tip blight
´óËâĞâ²¡,Garlic rust
´óËâ°×¸¯²¡,Garlic white rot
´óËâÒß²¡,Garlic Phytophthora blight
´óËâÈí¸¯²¡,Garlic bacterial soft rot
´óËâ²¡¶¾²¡,Garlic virus disease
´óËâ¸É¸¯²¡,Garlic Fusarium basal rot
´óËâºì¸ù¸¯²¡,Garlic red thoroughly stale disease
´óËâÃº°ß²¡,Garlic Cladosporium blight
´óËâ»ÒÒ¶°ß²¡,Garlic grey leaf spot
´óËâÒ¶Òß²¡,Garlic leaf blight
´óËâ»ÒÃ¹²¡,Garlic gray mold
´óËâºì¸¯²¡,Garlic Fusarium rot
´óËâºÚÍ·²¡,nan
´óËâ»¨Ò¶²¡,Garlic virus disease
´óËâÇàÃ¹²¡,nan
´óËâºÚ·Û²¡,nan
´óËâÇúÃ¹²¡,nan
´óËâÍÊÂÌÌõ°ß²¡¶¾²¡,nan
´óËâ»ÆÒ¶ºÍ¸É¼â,nan
´Ğ°ßÇ±Ó¬,Onion leafminer
´Ğ»Æ¹ÑÃ«Ìø¼×,Onion flea bettle
¾Â²Ë»ÒÃ¹²¡,Chinese chives gray mold
¾Â²ËÒß²¡,Chinese chives Phytophthora blight
¾Â²ËĞâ²¡,Chinese chives rust
¾Â²ËÈí¸¯²¡,Chinese chives bacterial soft rot
¾Â²Ë¾úºË²¡,Chinese chives white rot
¾Â²Ë¾¥¿İ²¡,nan
¾Â²Ë°×¾î²¡,chinese chives Sclerotium blight
¾Â²ËºÚ°ß²¡,Leek blight
¾Â²Ë²¡¶¾²¡,chinese chives virus
¾Â²Ë»ÆÒ¶ºÍ¸É¼â,nan
ÖÖÓ¬,Seed maggot
´ó°×²ËºÚ¸¯²¡,Chinese cabbage black rot
´ó°×²ËÈí¸¯²¡,Chinese cabbage soft rot
´ó°×²Ë²¡¶¾²¡,Chinese cabbage virus disease
´ó°×²ËºÖ°ß²¡,Chinese cabbage brown spot
´ó°×²Ëâ§µ¹²¡,Chinese cabbage damping off
´ó°×²ËÏ¸¾úĞÔºÖ°ß²¡,Cabbage bacterial brown spot
´ó°×²ËÏ¸¾úĞÔ½Ç°ß²¡,Chinese cabbage bacterial angular leaf spot
´ó°×²ËÏ¸¾úĞÔÒ¶°ß²¡,Chinese cabbage bacterial leaf spot
´ó°×²ËÏ¸¾úĞÔºÚ°ß²¡,Chinese cabbage bacterial black spot
´ó°×²Ë¸ÉÉÕĞÄ²¡,nan
´ó°×²Ë»ÆÒ¶²¡,Chinese cabbage yellows
Çà²ËÏ¸¾úĞÔ½Ç°ß²¡,Mock pad-choi bacterial angular leaf spot
Çà²Ëåê¸¯²¡,Mock pad-choi bottom rot
Çà²ËºÚëÖ²¡,Mock pad-choi black leg
Çà²Ë»ÆÒ¶²¡,Mock pad-choi yellows
Çà²Ë²¡¶¾²¡,Mock pad-choi virus disease
Çà²ËºÚ¸¯²¡,Mock pad-choi black rot
Çà²ËÈí¸¯²¡,Mock pad-choi soft rot
Çà²Ëâ§µ¹²¡,Mock pad-choi damping off
Çà²Ë°×·Û²¡,Mock pad-choi powdery milde
Çà²Ë°×°ß²¡,Mock pad-choi Cercosporella leaf spot
Çà²ËºÖ°ß²¡,Mock pad-choi brown spot
Çà²ËËªÃ¹²¡,Mock pad-choi downy milde
Çà²Ë°×Ğâ²¡,Mock pad-choi white rust
Çà²Ë¼ÙºÚ°ß²¡,Mock pad-choi black spot
Çà²ËºÚ°ß²¡,Mock pad-choi Alternaria leaf spot
Çà²ËÌ¿¾Ò²¡,Mock pad-choi anthracnose
Çà²ËÃà¸¯²¡,Mock pad-choi Pythium rot
Çà²Ë¾úºË²¡,Mock pad-choi Sclerotinia rot
µ¾ÂÌòí,Rice green stink bug
·ÇÖŞò÷òÁ,nan
µ¾¼¬Ôµòí,Rice spiny coreid
É£Àï°×·Û²¡,Mulberry powdery mildew
É£ÎÛÒ¶²¡,nan
É£Ò¶¿İ²¡,nan
É£ºÖ°ß²¡,Mulberry brown leaf spot
É£Ì¿¾Ò²¡,Mulberry anthracnose
É£Ñ¿¿İ²¡,nan
É£Äâ¸É¿İ²¡,nan
É£¶ÏÉÒ²¡,nan
É£°×¾î²¡,Mulberry Sclerotium blight
É£¸àÒ©,nan
É£×ÏÎÆÓğ²¡,Mulberry purple root rot
É£Çà¿İ²¡,Mulberry bacterial wilt
É£Ï¸¾úĞÔÒß²¡,Mulberry Bacterial Blight
É£Î®ËõĞÍÎ®Ëõ²¡,mulberry common dwarf diseases
É£»¨Ò¶ĞÍÎ®Ëõ²¡,nan
É£»Æ»¯ĞÍÎ®Ëõ²¡,mulberry yellow dwarf disease
É£¸ù½áÏß³æ²¡,Mulberry root knot nematode
É£³àĞâ²¡,Mulberry red rust
É£é©¾úºË²¡,Mulberry Sorosis
É£»¨Ò¶²¡,Mulberry mosaic
É£»ÒÃ¹²¡,Mulberry gray mold
É£¸É¿İ²¡,nan
É£°×ÎÆÓğ²¡,Mulberry white root rot
É£Ë¿Ò¶²¡¶¾²¡,nan
É£³ßó¶,nan
´º³ßó¶,nan
É£°×Ã«³æ,Large dagger moth
É£Ëò¶ê,nan
Ò°²Ï,ild silkworm
É£ó¨,Mulberry white caterpillar
É£Ãø,Mulberry pyralid
É£Öû³æ,nan
É£Ò¶²õ,nan
ÄâÁâÎÆÒ¶²õ,nan
É£¼»Âí,nan
É£·ÛÊ­,Mulberry whitefly
É£Ê­,Bayberry whitefly
É£Ä¾Ê­,Mulberry psylla
É£Ïó¼×,Mulberry smallweevil
É£ÉÒĞ¡ó¼³æ,mulberry bark beetle
É£³Èñ¨ÎÃ,nan
É£Îü½¬³æ,nan
É£¸ùñ¨ÎÃ,nan
É£ÌìÅ£,Mulberry longicorn
ÈËÎÆÎÛµÆ¶ê,White tiger moth
»Æ¾íÒ¶¶ê,currant twist moth
É£»ÆÃÔÓ©Ò¶¼×,nan
À¶Î²ÃÔÓ©Ò¶¼×,nan
É£Ğ¡»ÒÏó³æ,nan
É£»¢ÌìÅ£,nan
É£·Ûò»,Comstock mealy bug
¹êÀ¯ò»,Japanese wax Scale
°¼ÔµÁâÎÆÒ¶²õ,nan
²à¶àÊ³õÆÏßòı,Broad mite
ÉñÔóÊÏÒ¶òı,nan
É£Ê¼Ò¶òı,nan
ÂÜ²·ËªÃ¹²¡,Radish downy milde
ÂÜ²·ºÚ°ß²¡,Radish Alternaria leaf spot
ÂÜ²·°×°ß²¡,Radish Cercosporella leaf spot
ÂÜ²·°×Ğâ²¡,Radish white rust
ÂÜ²·ºÚ¸¯²¡,Radish black rot
ÂÜ²·Ï¸¾úĞÔ½Ç°ß²¡,Radish bacterial angular leaf spot
ÂÜ²·Èí¸¯²¡,Radish bacterial soft rot
ÂÜ²·²¡¶¾²¡,Radish virus disease
ÂÜ²·¿·ĞÄ,Radish pithiness
ÂÜ²·Ì¿¾Ò²¡,Radish anthracnose
ÂÜ²·ºÚ¸ù²¡,Radish black root
ÂÜ²·ÄâºÚ°ß²¡,Radish Alternaria leaf spot
ÂÜ²·¸ùÖ×²¡,Radish clubroot
ÂÜ²·»ÆÒ¶²¡,Radish yellow
ÂÜ²·¸ù½áÏß³æ²¡,Radish root£­rot nematode disease
ÂÜ²·ÈâÖÊ¸ù¿ªÁÑ,nan
ÂÜ²·ºÖ¸¯²¡,nan
ºÚ·ìÓÍ²ËÒ¶¼×,Rape leaf beetle
¶«·½²Ë·Ûµû,Indian cabbage white
ºúÂÜ²·ºÖ°ß²¡,nan
ºúÂÜ²·ºÚ¸¯²¡,Carrot Alternaria black rot
ºúÂÜ²·ºÚ°ß²¡,Carrot leaf blight
ºúÂÜ²·Èí¸¯²¡,Carrot soft rot
ºúÂÜ²·°ßµã²¡,nan
ºúÂÜ²·¸ùÃ¹Èí¸¯²¡,nan
ºúÂÜ²·¾úºË²¡,Carrot Sclerotinia
ºúÂÜ²·°×¾î²¡,Carrot southern blight
ºúÂÜ²·»ÒÃ¹²¡,Carrot gray mold
ºúÂÜ²·¸ùÁ´¸ñæßºÚ°ß²¡,nan
ºúÂÜ²·Ï¸¾úĞÔÒß²¡,nan
ºúÂÜ²·»¨Ò¶²¡,Carrot mosaic disease
ºúÂÜ²·¸ù½áÏß³æ²¡,Carrot root knot nematode
ºúÂÜ²·ÒìĞÎ¸ù,nan
ÂíÁåÊíÔçÒß²¡,Potato early blight
ÂíÁåÊíÍíÒß²¡,Potato late blight
ÂíÁåÊí´¯ğè²¡,Potato scab
ÂíÁåÊí°©Ö×²¡,Potato wart 
ÂíÁåÊí¸É¸¯²¡,Potato dry rot
ÂíÁåÊí°×¾î²¡,Potato southern blight
ÂíÁåÊíºÚëÖ²¡,Potato black leg
ÂíÁåÊíÇà¿İ²¡,Potato brown rot
ÂíÁåÊí»·¸¯²¡,Potato ring rot
ÂíÁåÊí²¡¶¾²¡,Potato virus disease
ÂíÁåÊí·Ûğè²¡,Potato powdery scab
ÂíÁåÊí¾¥»ù¸¯²¡,Potato Rhizoctonia rot
ÂíÁåÊíÈí¸¯²¡,Potato Rhizopus soft rot
ÂíÁåÊíÔçËÀ²¡,Potato early death
ÂíÁåÊíĞ¡Ò¶²¡,Potato leaflet stunt
ÂíÁåÊí¸ù¸¯Ïß³æ²¡,Potato lesion nematode
